X,Y,FID,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,CITY_NAME2,POP_updated,POP_updated_year,POP_SOURCE_updated,comments
-13688185.96,6321532.825,188,188,Vancouver,CAN-BCL,British Columbia,CA,Canada,Other,685885,3,"500,000 to 999,999",18150,0,UN_Data_2010_2020,Vancouver,2971853,2023,citypopulation.de,
-13733596.98,6181041.565,189,189,Victoria,CAN-BCL,British Columbia,CA,Canada,Provincial capital,94005,6,"50,000 to 99,999",5760,0,UN_Data_2010_2020,Victoria,434429,2023,citypopulation.de,
-13616227.27,6038675.641,190,190,Seattle,USA-WSH,Washington,US,United States,Other,753675,3,"500,000 to 999,999",17730,0,US_Census_2019,Seattle,3544011,2020,citypopulation.de,
-13680275.15,5949258.792,191,191,Olympia,USA-WSH,Washington,US,United States,Provincial capital,52882,6,"50,000 to 99,999",17660,0,US_Census_2019,Olympia,208157,2020,citypopulation.de,
-13652409.99,5691395.652,192,192,Portland,USA-ORE,Oregon,US,United States,Other,654741,3,"500,000 to 999,999",16940,0,US_Census_2019,Portland,652521,2020,citypopulation.de,
-14884082.56,10556628.38,193,193,Inuvik,CAN-NTR,Northwest Territories,CA,Canada,Other,0,0, ,0,0, ,Inuvik,3383,2023,citypopulation.de,
-11219145.14,5909489.861,194,194,Bismarck,USA-NDA,North Dakota,US,United States,Provincial capital,73529,6,"50,000 to 99,999",0,0,US_Census_2019,Bismarck,75092,2023,citypopulation.de,
-10478715.14,8126217.557,195,195,Churchill,CAN-MNT,Manitoba,CA,Canada,Other,0,0, ,1090,0, ,Churchill,880,2023,citypopulation.de,
-11869997.49,6820039.34,196,196,Saskatoon,CAN-SSK,Saskatchewan,CA,Canada,Other,275242,4,"250,000 to 499,999",0,0,UN_Data_2010_2020,Saskatoon,295204,2023,citypopulation.de,
-11645799.8,6524225.584,197,197,Regina,CAN-SSK,Saskatchewan,CA,Canada,Provincial capital,237011,5,"100,000 to 249,999",0,0,UN_Data_2010_2020,Regina,245640,2023,citypopulation.de,
-10811794.62,6432605.992,198,198,Winnipeg,CAN-MNT,Manitoba,CA,Canada,Provincial capital,763922,3,"500,000 to 999,999",0,0,UN_Data_2010_2020,Winnipeg,910240,2023,citypopulation.de,
-12471678.77,5876378.028,199,199,Helena,USA-MNT,Montana,US,United States,Provincial capital,33124,7,"Less than 50,000",0,0,US_Census_2019,Helena,34464,2023,citypopulation.de,
-10359948.82,5624827.645,200,200,Saint Paul,USA-MNN,Minnesota,US,United States,Provincial capital,308096,4,"250,000 to 499,999",0,0,US_Census_2019,Saint Paul,311516,2020,citypopulation.de,
